rank,score,action,name,slug,url,clicks,impressions,ctr,position,subtree_product_count,priced_product_count,has_products,rfq_enabled_count,is_rfq_suitable,child_count,is_in_sitemap,is_indexable,has_intro,has_buying_guide,has_faq,has_seo_framework,has_seo_override,has_guide_cluster,has_related_knowledge_article,is_redirect_source
24,52,strengthen_conversion,Surface Protection Tape,surface-protection-tape,https://machrio.com/category/surface-protection-tape,0,1,0,45,890,890,true,713,true,0,true,true,false,false,false,false,false,false,false,false
25,51,strengthen_conversion,Flat Cable,flat-cable,https://machrio.com/category/flat-cable,0,4,0,72.25,31,31,true,31,true,0,true,true,false,false,false,false,false,false,false,false
26,50,fill_category_content,"Adhesives, Sealants and Tape",adhesives-sealants-and-tape,https://machrio.com/category/adhesives-sealants-and-tape,0,0,0,0,1317,1317,true,1085,true,4,true,true,false,true,true,true,false,false,false,false
27,50,fill_category_content,Bearings,bearings,https://machrio.com/category/bearings,0,0,0,0,789,789,true,702,true,4,true,true,false,true,true,true,false,false,false,false
28,50,fill_category_content,Casters & Wheels,casters-wheels,https://machrio.com/category/casters-wheels,0,0,0,0,741,741,true,715,true,2,true,true,false,true,true,true,false,false,false,false
29,50,fill_category_content,"Caulks, Sealants & Gasket Makers",caulks-sealants-gasket-makers,https://machrio.com/category/caulks-sealants-gasket-makers,0,0,0,0,395,395,true,372,true,3,true,true,false,true,true,true,false,false,false,false
30,50,fill_category_content,Electrical,electrical,https://machrio.com/category/electrical,0,0,0,0,2055,2055,true,2015,true,6,true,true,false,true,true,true,false,false,false,false
31,50,strengthen_conversion,Fall Protection Kits,fall-protection-kits,https://machrio.com/category/fall-protection-kits,0,1,0,10,9,9,true,0,false,0,true,true,false,false,false,false,false,false,false,false
32,50,fill_category_content,"Industrial Controls, Automation and Machine Safety",industrial-controls-automation-and-machine-safety,https://machrio.com/category/industrial-controls-automation-and-machine-safety,0,0,0,0,371,371,true,371,true,2,true,true,false,true,true,true,false,false,false,false
33,50,fill_category_content,Packing & Shipping Bags,packing-shipping-bags,https://machrio.com/category/packing-shipping-bags,0,0,0,0,631,631,true,626,true,4,true,true,false,true,true,true,false,false,false,false
34,50,fill_category_content,Safety,safety,https://machrio.com/category/safety,0,0,0,0,1378,1378,true,811,true,24,true,true,false,true,true,true,false,false,false,false
35,49,strengthen_conversion,Emergency & Exit Lighting,emergency-exit-lighting,https://machrio.com/category/emergency-exit-lighting,0,1,0,7,54,54,true,54,true,1,true,true,false,true,true,true,false,false,false,false
36,49,fill_category_content,Respiratory Protection,respiratory-protection,https://machrio.com/category/respiratory-protection,0,0,0,0,7,7,true,0,true,1,true,true,false,true,true,true,true,true,true,false
37,49,fill_category_content,Safety Gloves,safety-gloves,https://machrio.com/category/safety-gloves,0,0,0,0,276,276,true,160,true,0,true,true,false,false,true,true,false,false,false,false
38,48,strengthen_conversion,Bolts & Screws,bolts-screws,https://machrio.com/category/bolts-screws,0,1,0,2,588,588,true,588,true,12,true,true,false,true,true,true,false,false,false,false
39,48,strengthen_conversion,Painting Equipment,painting-equipment,https://machrio.com/category/painting-equipment,0,1,0,9,13,13,true,13,true,1,true,true,false,true,true,true,false,false,false,false
40,48,strengthen_conversion,Tape,tape,https://machrio.com/category/tape,0,1,0,3,890,890,true,713,true,1,true,true,false,true,true,true,false,false,false,false
41,47,improve_ctr_title_meta,Shaft Grounding Rings,shaft-grounding-rings,https://machrio.com/category/shaft-grounding-rings,0,53,0,69,0,0,false,0,true,0,false,true,false,false,true,true,true,true,true,false
42,46,improve_ctr_title_meta,Floor Protection Mats,floor-protection-mats,https://machrio.com/category/floor-protection-mats,0,15,0,73.4,51,51,true,18,true,0,true,true,false,false,false,false,false,false,false,false
43,45,fill_category_content,Lockout Hasps,lockout-hasps,https://machrio.com/category/lockout-hasps,0,0,0,0,56,56,true,18,true,0,true,true,false,false,false,false,false,false,false,false
44,44,fill_category_content,Bathroom Sinks,bathroom-sinks,https://machrio.com/category/bathroom-sinks,0,0,0,0,316,316,true,316,true,0,true,true,false,false,false,false,false,false,false,false
45,44,seed_demand_capture_page,Electrical Generators & Power Stations,electrical-generators-power-stations,https://machrio.com/category/electrical-generators-power-stations,0,1,0,10,0,0,false,0,true,2,false,true,false,true,true,true,false,false,false,false
46,44,fill_category_content,Floodlights,floodlights,https://machrio.com/category/floodlights,0,0,0,0,307,307,true,290,true,0,true,true,false,false,false,false,false,false,false,false
47,44,fill_category_content,Hand Knobs,hand-knobs,https://machrio.com/category/hand-knobs,0,0,0,0,549,549,true,549,true,0,true,true,false,false,false,false,false,false,false,false
48,44,fill_category_content,Hose Reels,hose-reels,https://machrio.com/category/hose-reels,0,0,0,0,318,318,true,228,true,0,true,true,false,false,false,false,false,false,false,false
49,44,fill_category_content,Limit Switches,limit-switches,https://machrio.com/category/limit-switches,0,0,0,0,352,352,true,352,true,0,true,true,false,false,false,false,false,false,false,false
50,44,fill_category_content,Portable Cord,portable-cord,https://machrio.com/category/portable-cord,0,0,0,0,545,545,true,545,true,0,true,true,false,false,false,false,false,false,false,false
51,44,fill_category_content,Retail Bags,retail-bags,https://machrio.com/category/retail-bags,0,0,0,0,347,347,true,347,true,0,true,true,false,false,false,false,false,false,false,false
52,44,fill_category_content,Track Light Fixtures,track-light-fixtures,https://machrio.com/category/track-light-fixtures,0,0,0,0,441,441,true,436,true,0,true,true,false,false,false,false,false,false,false,false
53,44,seed_demand_capture_page,Water Safety,water-safety,https://machrio.com/category/water-safety,0,1,0,10,0,0,false,0,true,1,false,true,false,true,true,true,false,false,false,false
54,43,fill_category_content,Air Cylinders,air-cylinders,https://machrio.com/category/air-cylinders,0,0,0,0,240,240,true,240,true,0,true,true,false,false,false,false,false,false,false,false
55,43,fill_category_content,Retaining Washers,retaining-washers,https://machrio.com/category/retaining-washers,0,0,0,0,256,256,true,256,true,0,true,true,false,false,false,false,false,false,false,false
56,43,fill_category_content,Sharpening Stones,sharpening-stones,https://machrio.com/category/sharpening-stones,0,0,0,0,273,273,true,273,true,0,true,true,false,false,false,false,false,false,false,false
57,43,strengthen_conversion,Welding Protective Clothing,welding-protective-clothing,https://machrio.com/category/welding-protective-clothing,0,1,0,7,51,51,true,5,true,0,true,true,false,false,false,false,false,false,false,false
58,42,fill_category_content,Floor Mats,floor-mats,https://machrio.com/category/floor-mats,0,0,0,0,68,68,true,29,true,3,true,true,false,true,true,true,true,false,false,false
59,42,strengthen_conversion,Medicine Vending Machines,medicine-vending-machines,https://machrio.com/category/medicine-vending-machines,0,1,0,53,42,42,true,2,true,0,true,true,false,false,false,false,false,false,false,false
60,42,fill_category_content,Screwdriver Bits,screwdriver-bits,https://machrio.com/category/screwdriver-bits,0,0,0,0,230,230,true,230,true,0,true,true,false,false,false,false,false,false,false,false
61,42,fill_category_content,Solenoid Valves,solenoid-valves,https://machrio.com/category/solenoid-valves,0,0,0,0,199,199,true,113,true,0,true,true,false,false,false,false,false,false,false,false
62,42,strengthen_conversion,Spray Adhesives,spray-adhesives,https://machrio.com/category/spray-adhesives,0,1,0,3,5,5,true,0,true,0,true,true,false,false,false,false,false,false,false,false
63,42,strengthen_conversion,Welding Screens,welding-screens,https://machrio.com/category/welding-screens,0,1,0,10,1,1,true,1,true,0,true,true,false,false,false,false,false,false,false,false
64,41,strengthen_conversion,Cleaning and Janitorial,cleaning-and-janitorial,https://machrio.com/category/cleaning-and-janitorial,0,2,0,3.5,80,80,true,4,true,3,true,true,false,true,true,true,false,false,false,false
65,41,fill_category_content,Protective Packaging,protective-packaging,https://machrio.com/category/protective-packaging,0,0,0,0,51,51,true,3,true,1,true,true,false,true,true,true,false,false,false,false
66,41,fill_category_content,Shipping Mailers,shipping-mailers,https://machrio.com/category/shipping-mailers,0,0,0,0,57,57,true,57,true,1,true,true,false,true,true,true,false,false,false,false
67,40,fill_category_content,Fasteners,fasteners,https://machrio.com/category/fasteners,0,0,0,0,1735,1735,true,1735,true,7,true,true,false,true,true,true,false,false,false,false
68,40,fill_category_content,Glass Door Hardware,glass-door-hardware,https://machrio.com/category/glass-door-hardware,0,0,0,0,140,140,true,140,true,0,true,true,false,false,false,false,false,false,false,false
69,40,fill_category_content,"Grounding Rods, Braids & Connectors",grounding-rods-braids-connectors,https://machrio.com/category/grounding-rods-braids-connectors,0,0,0,0,43,43,true,43,true,1,true,true,false,true,true,true,false,false,false,false
70,40,fill_category_content,Hand & Arm Protection,hand-arm-protection,https://machrio.com/category/hand-arm-protection,0,0,0,0,288,288,true,162,true,3,true,true,false,true,true,true,false,false,false,false
71,40,fill_category_content,"Handles, Pulls & Knobs",handles-pulls-knobs,https://machrio.com/category/handles-pulls-knobs,0,0,0,0,549,549,true,549,true,2,true,true,false,true,true,true,false,false,false,false
72,40,fill_category_content,Hardware,hardware,https://machrio.com/category/hardware,0,0,0,0,1102,1102,true,1098,true,13,true,true,false,true,true,true,false,false,false,false
73,40,fill_category_content,Hex Nuts,hex-nuts,https://machrio.com/category/hex-nuts,0,0,0,0,723,723,true,723,true,0,true,true,false,false,true,true,false,false,false,false
74,40,strengthen_conversion,Hole Plugs,hole-plugs,https://machrio.com/category/hole-plugs,0,3,0,33.33,30,30,true,30,true,0,true,true,false,false,false,false,false,false,false,false
75,40,fill_category_content,"Hose, Hose Fittings & Hose Reels",hose-hose-fittings-hose-reels,https://machrio.com/category/hose-hose-fittings-hose-reels,0,0,0,0,318,318,true,228,true,1,true,true,false,true,true,true,false,false,false,false
76,40,fill_category_content,Lighting,lighting,https://machrio.com/category/lighting,0,0,0,0,813,813,true,791,true,3,true,true,false,true,true,true,false,false,false,false
77,40,fill_category_content,Lighting Fixtures & Retrofit Kits,lighting-fixtures-retrofit-kits,https://machrio.com/category/lighting-fixtures-retrofit-kits,0,0,0,0,441,441,true,436,true,1,true,true,false,true,true,true,false,false,false,false
78,40,fill_category_content,Locks,locks,https://machrio.com/category/locks,0,0,0,0,297,297,true,297,true,2,true,true,false,true,true,true,false,false,false,false
79,40,fill_category_content,Machine Screws,machine-screws,https://machrio.com/category/machine-screws,0,0,0,0,511,511,true,511,true,0,true,true,false,false,true,true,false,false,false,false
80,40,fill_category_content,Nuts,nuts,https://machrio.com/category/nuts,0,0,0,0,743,743,true,743,true,9,true,true,false,true,true,true,false,false,false,false
81,40,fill_category_content,Outdoor Lighting,outdoor-lighting,https://machrio.com/category/outdoor-lighting,0,0,0,0,318,318,true,301,true,2,true,true,false,true,true,true,false,false,false,false
82,40,fill_category_content,"Pipe, Hose, Tube & Fittings",pipe-hose-tube-fittings,https://machrio.com/category/pipe-hose-tube-fittings,0,0,0,0,318,318,true,228,true,1,true,true,false,true,true,true,false,false,false,false
83,40,fill_category_content,Plumbing,plumbing,https://machrio.com/category/plumbing,0,0,0,0,587,587,true,501,true,3,true,true,false,true,true,true,false,false,false,false
84,40,fill_category_content,Pneumatics,pneumatics,https://machrio.com/category/pneumatics,0,0,0,0,312,312,true,312,true,8,true,true,false,true,true,true,false,false,false,false
85,40,fill_category_content,Power Transmission,power-transmission,https://machrio.com/category/power-transmission,0,0,0,0,789,789,true,702,true,7,true,true,false,true,true,true,false,false,false,false
86,40,fill_category_content,Security,security,https://machrio.com/category/security,0,0,0,0,298,298,true,298,true,6,true,true,false,true,true,true,false,false,false,false
87,40,fill_category_content,"Sinks, Wash Fountains & Repair Parts",sinks-wash-fountains-repair-parts,https://machrio.com/category/sinks-wash-fountains-repair-parts,0,0,0,0,388,388,true,388,true,2,true,true,false,true,true,true,false,false,false,false
88,40,strengthen_conversion,Storage & Workspace,storage-workspace,https://machrio.com/category/storage-workspace,0,1,0,10,2,2,true,2,true,1,true,true,false,true,true,true,false,false,false,false
89,40,fill_category_content,Tools,tools,https://machrio.com/category/tools,0,0,0,0,490,490,true,435,true,5,true,true,false,true,true,true,false,false,false,false
90,40,fill_category_content,Vibration Isolating Mounts,vibration-isolating-mounts,https://machrio.com/category/vibration-isolating-mounts,0,0,0,0,141,141,true,141,true,0,true,true,false,false,false,false,false,false,false,false
91,39,fill_category_content,Cotter Pins,cotter-pins,https://machrio.com/category/cotter-pins,0,0,0,0,110,110,true,110,true,0,true,true,false,false,false,false,false,false,false,false
92,39,fill_category_content,Pneumatic Actuators,pneumatic-actuators,https://machrio.com/category/pneumatic-actuators,0,0,0,0,240,240,true,240,true,3,true,true,false,true,true,true,false,false,false,false
93,39,fill_category_content,Respirator Fit Testing,respirator-fit-testing,https://machrio.com/category/respirator-fit-testing,0,0,0,0,7,7,true,0,true,0,true,true,false,false,true,true,false,true,true,false
94,39,strengthen_conversion,Screen Door Hardware,screen-door-hardware,https://machrio.com/category/screen-door-hardware,0,6,0,88.33,19,19,true,19,true,0,true,true,false,false,false,false,false,false,false,false
95,39,fill_category_content,Sharpening,sharpening,https://machrio.com/category/sharpening,0,0,0,0,273,273,true,273,true,1,true,true,false,true,true,true,false,false,false,false
96,39,fill_category_content,Washers,washers,https://machrio.com/category/washers,0,0,0,0,261,261,true,261,true,3,true,true,false,true,true,true,false,false,false,false
97,38,fill_category_content,Air Filters,air-filters,https://machrio.com/category/air-filters,0,0,0,0,31,31,true,1,true,1,true,true,false,true,true,true,false,false,false,false
98,38,strengthen_conversion,Computer Supplies & Media,computer-supplies-media,https://machrio.com/category/computer-supplies-media,0,1,0,8,1,1,true,1,true,2,true,true,false,true,true,true,false,false,false,false
99,38,seed_demand_capture_page,Desk Calendars,desk-calendars,https://machrio.com/category/desk-calendars,0,1,0,8,0,0,false,0,true,0,false,true,false,false,false,false,false,false,false,false
100,38,fill_category_content,Plumbing Valves,plumbing-valves,https://machrio.com/category/plumbing-valves,0,0,0,0,199,199,true,113,true,1,true,true,false,true,true,true,false,false,false,false
101,38,fill_category_content,Poly Tubing,poly-tubing,https://machrio.com/category/poly-tubing,0,0,0,0,90,90,true,90,true,0,true,true,false,false,false,false,false,false,false,false
102,38,seed_demand_capture_page,Pump Covers,pump-covers,https://machrio.com/category/pump-covers,0,1,0,16,0,0,false,0,true,0,false,true,false,false,false,false,false,false,false,false
103,38,fill_category_content,Sockets & Bits,sockets-bits,https://machrio.com/category/sockets-bits,0,0,0,0,234,234,true,234,true,3,true,true,false,true,true,true,false,false,false,false
104,38,seed_demand_capture_page,Tamper-Evident Seals,tamper-evident-seals,https://machrio.com/category/tamper-evident-seals,0,2,0,8,0,0,false,0,true,0,false,true,false,false,false,false,false,false,false,false
105,38,fill_category_content,Tool Organizers,tool-organizers,https://machrio.com/category/tool-organizers,0,0,0,0,98,98,true,48,true,0,true,true,false,false,false,false,false,false,false,false
106,37,improve_ctr_title_meta,Aerosol Can Recycling Equipment,aerosol-can-recycling-equipment,https://machrio.com/category/aerosol-can-recycling-equipment,0,46,0,77.65,0,0,false,0,true,0,false,true,false,false,true,true,true,false,false,false
107,37,fill_category_content,Door Hardware,door-hardware,https://machrio.com/category/door-hardware,0,0,0,0,184,184,true,184,true,5,true,true,false,true,true,true,false,false,false,false
108,37,fill_category_content,Pipe Sealants,pipe-sealants,https://machrio.com/category/pipe-sealants,0,0,0,0,24,24,true,20,true,0,true,true,false,false,true,true,false,false,false,false
109,36,fill_category_content,Contact Adhesives,contact-adhesives,https://machrio.com/category/contact-adhesives,0,0,0,0,10,10,true,0,true,0,true,true,false,false,false,false,false,false,false,false
110,36,fill_category_content,Fire Blankets,fire-blankets,https://machrio.com/category/fire-blankets,0,0,0,0,10,10,true,0,true,0,true,true,false,false,false,false,false,false,false,false
111,36,fill_category_content,Pins,pins,https://machrio.com/category/pins,0,0,0,0,141,141,true,141,true,10,true,true,false,true,true,true,false,false,false,false
112,36,fill_category_content,Rotary Dampers,rotary-dampers,https://machrio.com/category/rotary-dampers,0,0,0,0,62,62,true,62,true,0,true,true,false,false,false,false,false,false,false,false
113,36,fill_category_content,Safety Flares,safety-flares,https://machrio.com/category/safety-flares,0,0,0,0,10,10,true,10,true,0,true,true,false,false,false,false,false,false,false,false
114,36,fill_category_content,Stamping Tools,stamping-tools,https://machrio.com/category/stamping-tools,0,0,0,0,63,63,true,1,true,0,true,true,false,false,false,false,false,false,false,false
115,36,fill_category_content,Vibration Control & Leveling Mounts,vibration-control-leveling-mounts,https://machrio.com/category/vibration-control-leveling-mounts,0,0,0,0,147,147,true,147,true,2,true,true,false,true,true,true,false,false,false,false
116,35,fill_category_content,Bubble Mailers,bubble-mailers,https://machrio.com/category/bubble-mailers,0,0,0,0,57,57,true,57,true,0,true,true,false,false,false,false,false,false,false,false
117,35,fill_category_content,Cleaning Buckets,cleaning-buckets,https://machrio.com/category/cleaning-buckets,0,0,0,0,53,53,true,1,true,0,true,true,false,false,false,false,false,false,false,false
118,35,improve_ctr_title_meta,Fume Extractors,fume-extractors,https://machrio.com/category/fume-extractors,0,17,0,77.71,0,0,false,0,true,0,false,true,false,false,false,false,true,false,false,false
119,35,fill_category_content,Hand Tools,hand-tools,https://machrio.com/category/hand-tools,0,0,0,0,127,127,true,127,true,3,true,true,false,true,true,true,false,false,false,false
120,35,fill_category_content,Instant Foam,instant-foam,https://machrio.com/category/instant-foam,0,0,0,0,51,51,true,3,true,0,true,true,false,false,false,false,false,false,false,false
121,35,fill_category_content,Lighted Exit Signs,lighted-exit-signs,https://machrio.com/category/lighted-exit-signs,0,0,0,0,54,54,true,54,true,0,true,true,false,false,false,false,false,false,false,false
122,35,fill_category_content,Pneumatic Check Valves,pneumatic-check-valves,https://machrio.com/category/pneumatic-check-valves,0,0,0,0,56,56,true,56,true,0,true,true,false,false,false,false,false,false,false,false
123,35,fill_category_content,Rainwear,rainwear,https://machrio.com/category/rainwear,0,0,0,0,60,60,true,24,true,0,true,true,false,false,false,false,false,false,false,false
124,35,fill_category_content,Tool Storage,tool-storage,https://machrio.com/category/tool-storage,0,0,0,0,121,121,true,66,true,2,true,true,false,true,true,true,false,false,false,false
125,35,fill_category_content,Track Wheels,track-wheels,https://machrio.com/category/track-wheels,0,0,0,0,52,52,true,32,true,0,true,true,false,false,false,false,false,false,false,false
126,35,fill_category_content,Wrenches,wrenches,https://machrio.com/category/wrenches,0,0,0,0,111,111,true,111,true,0,true,true,false,false,true,true,false,false,false,false
127,34,add_content_cluster,Abrasives,abrasives,https://machrio.com/category/abrasives,0,0,0,0,365,365,true,365,true,5,true,true,true,true,true,true,false,false,false,false
128,34,fill_category_content,Compressed Air Filters,compressed-air-filters,https://machrio.com/category/compressed-air-filters,0,0,0,0,6,6,true,6,true,0,true,true,false,false,false,false,false,false,false,false
129,34,strengthen_conversion,Lab Furniture & Accessories,lab-furniture-accessories,https://machrio.com/category/lab-furniture-accessories,0,1,0,7,20,20,true,0,false,3,true,true,false,true,true,true,false,false,false,false
130,34,fill_category_content,Lifting Slings,lifting-slings,https://machrio.com/category/lifting-slings,0,0,0,0,46,46,true,7,true,0,true,true,false,false,false,false,false,false,false,false
131,34,seed_demand_capture_page,Office Paper & Notebooks,office-paper-notebooks,https://machrio.com/category/office-paper-notebooks,0,1,0,9,0,0,false,0,true,1,false,true,false,true,true,true,false,false,false,false
132,34,fill_category_content,Pneumatic Safety Valves,pneumatic-safety-valves,https://machrio.com/category/pneumatic-safety-valves,0,0,0,0,6,6,true,6,true,0,true,true,false,false,false,false,false,false,false,false
133,34,fill_category_content,Socket Head Cap Screws,socket-head-cap-screws,https://machrio.com/category/socket-head-cap-screws,0,0,0,0,50,50,true,50,true,0,true,true,false,false,false,false,false,false,false,false
134,33,strengthen_conversion,Antislip Tape,antislip-tape,https://machrio.com/category/antislip-tape,0,6,0,63.67,5,5,true,5,true,0,true,true,false,false,false,false,false,false,false,false
135,33,fill_category_content,Bump Caps,bump-caps,https://machrio.com/category/bump-caps,0,0,0,0,41,41,true,0,false,0,true,true,false,false,false,false,false,false,false,false
136,33,fill_category_content,Cleaning Supplies,cleaning-supplies,https://machrio.com/category/cleaning-supplies,0,0,0,0,77,77,true,1,true,4,true,true,false,true,true,true,false,false,false,false
137,33,fill_category_content,Instant Adhesives,instant-adhesives,https://machrio.com/category/instant-adhesives,0,0,0,0,5,5,true,0,true,0,true,true,false,false,false,false,false,false,false,false
138,33,fill_category_content,Sanding Abrasives,sanding-abrasives,https://machrio.com/category/sanding-abrasives,0,0,0,0,79,79,true,79,true,2,true,true,false,true,true,true,false,false,false,false
139,33,fill_category_content,Sanding Discs,sanding-discs,https://machrio.com/category/sanding-discs,0,0,0,0,79,79,true,79,true,0,true,true,false,false,true,true,false,false,false,false
140,33,strengthen_conversion,Strapping Bands,strapping-bands,https://machrio.com/category/strapping-bands,0,2,0,72,6,6,true,0,false,0,true,true,false,false,false,false,false,false,false,false
141,33,fill_category_content,Traffic Safety,traffic-safety,https://machrio.com/category/traffic-safety,0,0,0,0,12,12,true,12,true,4,true,true,false,true,true,true,false,false,false,false
142,33,fill_category_content,Utility Hooks,utility-hooks,https://machrio.com/category/utility-hooks,0,0,0,0,36,36,true,36,true,0,true,true,false,false,false,false,false,false,false,false
143,32,fill_category_content,Construction Adhesives,construction-adhesives,https://machrio.com/category/construction-adhesives,0,0,0,0,4,4,true,0,true,0,true,true,false,false,false,false,false,false,false,false
144,32,fill_category_content,Fire Protection,fire-protection,https://machrio.com/category/fire-protection,0,0,0,0,10,10,true,0,true,2,true,true,false,true,true,true,false,false,false,false
145,32,fill_category_content,"Furnishings, Appliances & Hospitality",furnishings-appliances-hospitality,https://machrio.com/category/furnishings-appliances-hospitality,0,0,0,0,64,64,true,64,true,5,true,true,false,true,true,true,false,false,false,false
146,32,fill_category_content,Pneumatic System Components,pneumatic-system-components,https://machrio.com/category/pneumatic-system-components,0,0,0,0,62,62,true,62,true,2,true,true,false,true,true,true,false,false,false,false
147,32,fill_category_content,Signs & Facility Identification Products,signs-facility-identification-products,https://machrio.com/category/signs-facility-identification-products,0,0,0,0,63,63,true,1,true,1,true,true,false,true,true,true,false,false,false,false
148,32,fill_category_content,Springs,springs,https://machrio.com/category/springs,0,0,0,0,67,67,true,67,true,4,true,true,false,true,true,true,false,false,false,false
149,32,fill_category_content,Window Opening Control Devices,window-opening-control-devices,https://machrio.com/category/window-opening-control-devices,0,0,0,0,29,29,true,29,true,0,true,true,false,false,false,false,false,false,false,false
150,31,fill_category_content,Bird Control,bird-control,https://machrio.com/category/bird-control,0,0,0,0,27,27,true,27,true,0,true,true,false,false,false,false,false,false,false,false
151,31,strengthen_conversion,Burlap Fabric,burlap-fabric,https://machrio.com/category/burlap-fabric,0,5,0,35,4,4,true,4,true,0,true,true,false,false,false,false,false,false,false,false
152,31,fill_category_content,Cleaning Carts,cleaning-carts,https://machrio.com/category/cleaning-carts,0,0,0,0,24,24,true,0,false,0,true,true,false,false,false,false,false,false,false,false
153,31,fill_category_content,Drawstring Bags,drawstring-bags,https://machrio.com/category/drawstring-bags,0,0,0,0,25,25,true,25,true,0,true,true,false,false,false,false,false,false,false,false
154,31,fill_category_content,Earmuffs,earmuffs,https://machrio.com/category/earmuffs,0,0,0,0,25,25,true,0,false,0,true,true,false,false,false,false,false,false,false,false
155,31,fill_category_content,Furniture,furniture,https://machrio.com/category/furniture,0,0,0,0,53,53,true,53,true,8,true,true,false,true,true,true,false,false,false,false
156,31,fill_category_content,Hex Head Bolts,hex-head-bolts,https://machrio.com/category/hex-head-bolts,0,0,0,0,25,25,true,25,true,0,true,true,false,false,false,false,false,false,false,false
